x 	 y 	 
-2.878968 	 1.599722 	 
-3.101007 	 1.828040 	 
-2.936406 	 1.977894 	 
-2.672863 	 1.855921 	 
-2.616600 	 1.727364 	 
-2.654703 	 1.914699 	 
-2.662508 	 1.907913 	 
-2.503911 	 1.869587 	 
-2.428060 	 1.761487 	 
-2.508405 	 1.845119 	 
-2.616639 	 1.928850 	 
-2.791209 	 1.684492 	 
-2.804563 	 1.674592 	 
-2.989347 	 1.508015 	 
-3.018139 	 1.465517 	 
-2.949231 	 1.551584 	 
-2.987741 	 1.614202 	 
-2.971649 	 1.620205 	 
-3.023033 	 1.801396 	 
-3.006743 	 1.829518 	 
-2.844953 	 2.208451 	 
-2.721595 	 2.403468 	 
-2.658448 	 2.477397 	 
-2.484246 	 2.620094 	 
-2.382622 	 2.725194 	 
-2.253389 	 2.751388 	 
-2.245658 	 2.805310 	 
-2.312166 	 2.739778 	 
-2.199735 	 2.751242 	 
-2.227293 	 2.603262 	 
-2.411870 	 2.511117 	 
-2.395846 	 2.491565 	 
-2.392662 	 2.462697 	 
-2.532391 	 2.473308 	 
-2.675679 	 2.661268 	 
-2.678906 	 2.583025 	 
-2.779071 	 2.581676 	 
-2.574084 	 2.475673 	 
-2.597216 	 2.365283 	 
-2.799584 	 2.103822 	 
-2.802409 	 2.004675 	 
-2.926785 	 2.054538 	 
-3.017335 	 2.132240 	 
-3.153501 	 2.125639 	 
-3.164861 	 2.242511 	 
-3.265754 	 2.073881 	 
-3.088530 	 2.082285 	 
-3.221486 	 2.248975 	 
-3.391238 	 2.500259 	 
-3.338195 	 2.370470 	 
-3.435829 	 2.375874 	 
-3.452438 	 2.433296 	 
-3.239097 	 2.659170 	 
-3.193360 	 2.455080 	 
-3.318299 	 2.090667 	 
-3.331372 	 2.175295 	 
-3.150205 	 2.177933 	 
-3.150184 	 2.284121 	 
-2.975047 	 2.126533 	 
-2.971455 	 2.107657 	 
-2.896741 	 2.017848 	 
-2.937051 	 2.105591 	 
-2.827019 	 1.808270 	 
-2.853903 	 1.808505 	 
-3.039770 	 1.642925 	 
-3.054417 	 1.752864 	 
-3.037745 	 1.774056 	 
-3.084658 	 1.663043 	 
-3.244461 	 1.600627 	 
-3.219251 	 1.594368 	 
-3.298221 	 1.769404 	 
-3.119162 	 1.834571 	 
-3.225379 	 1.835611 	 
-3.300203 	 1.905450 	 
-3.291251 	 1.694843 	 
-3.396263 	 1.529087 	 
-3.326669 	 1.488238 	 
-3.361873 	 1.761193 	 
-3.465876 	 1.823631 	 
-3.331546 	 2.076205 	 
-3.371119 	 2.048703 	 
-3.361036 	 2.342297 	 
-3.274396 	 2.496108 	 
-3.007760 	 2.330450 	 
-2.986868 	 2.351819 	 
-3.063053 	 2.427581 	 
-3.161650 	 2.274165 	 
-3.160926 	 2.415434 	 
-3.305962 	 2.355718 	 
-3.366623 	 2.349852 	 
-3.401238 	 2.465436 	 
-3.351759 	 2.483092 	 
-3.315331 	 2.510965 	 
-3.296804 	 2.753457 	 
-3.193001 	 2.917136 	 
-2.703124 	 2.565454 	 
-2.930854 	 2.477098 	 
-2.650617 	 2.648510 	 
-2.517211 	 2.489516 	 
-2.844578 	 2.556333 	 
-3.146557 	 2.313555 	 
-3.147624 	 2.635630 	 
-3.232545 	 2.685204 	 
-3.203273 	 2.830647 	 
-3.268913 	 2.778072 	 
-3.085412 	 2.804173 	 
